TEAM_ABBREVIATION,POSITION,SEASON,AVG_PTS_ALLOWED,AVG_REB_ALLOWED,AVG_AST_ALLOWED,AVG_3PM_ALLOWED,PTS_RANK,REB_RANK,AST_RANK,3PM_RANK
PHX,F,2025-26,7.321550741163056,2.926453819840365,1.5535917901938427,0.8574686431014823,28,18,24,30
PHX,G,2023-24,16.329749103942653,3.7096774193548385,5.659498207885305,2.043010752688172,19,11,9,14
PHX,G,2024-25,16.278125,3.89375,5.121875,2.071875,8,2,16,8
PHX,G,2025-26,15.09452736318408,3.3930348258706466,4.36318407960199,1.681592039800995,22,9,26,24
POR,C,2023-24,17.160493827160494,9.267489711934155,3.3909465020576133,0.6666666666666666,10,10,21,30
POR,C,2024-25,15.16015625,8.375,3.57421875,0.734375,18,23,8,28
POR,C,2025-26,16.066326530612244,8.096938775510203,3.2551020408163267,0.9897959183673469,11,19,18,10
POR,F,2023-24,7.930877671668941,2.9540700318326514,1.745338790359254,0.9072305593451568,10,16,5,22
POR,F,2024-25,7.70875850340136,3.0008503401360542,1.590561224489796,0.95578231292517,6,2,8,18
POR,F,2025-26,8.041739130434783,2.991304347826087,1.7617391304347827,0.9710144927536232,12,14,8,18
POR,G,2023-24,17.219917012448132,3.966804979253112,5.4937759336099585,1.8713692946058091,10,2,11,25
POR,G,2024-25,15.788778877887788,3.617161716171617,4.706270627062707,1.8283828382838283,13,7,24,27
POR,G,2025-26,16.891509433962263,3.297169811320755,4.533018867924528,2.0283018867924527,2,10,23,3
SAC,C,2023-24,15.733333333333333,9.258333333333333,3.9625,0.7625,26,11,2,27
SAC,C,2024-25,15.651685393258427,9.179775280898877,3.700374531835206,0.8726591760299626,14,3,4,13
SAC,C,2025-26,17.5875,8.654166666666667,3.3583333333333334,0.7875,1,4,13,24
SAC,F,2023-24,8.1047018904508,2.9505574406204556,1.746485700436258,1.0014541929229277,5,19,4,10
SAC,F,2024-25,7.706976744186046,2.7217758985200846,1.5289640591966174,1.0854122621564481,7,29,14,1
SAC,F,2025-26,8.077871148459383,2.900280112044818,1.735014005602241,1.007843137254902,11,19,9,13
SAC,G,2023-24,18.43083003952569,3.624505928853755,5.252964426877471,2.3596837944664033,3,13,18,1
SAC,G,2024-25,14.878125,3.303125,5.409375,1.9125,28,23,8,19
SAC,G,2025-26,15.26595744680851,2.9202127659574466,5.101063829787234,1.7765957446808511,19,23,7,18
SAN,C,2023-24,17.73507462686567,9.097014925373134,3.537313432835821,0.9440298507462687,4,15,13,10
SAN,C,2024-25,16.397727272727273,8.996212121212121,3.5303030303030303,0.8257575757575758,7,9,13,20
SAN,C,2025-26,13.906542056074766,7.836448598130841,3.163551401869159,0.7663551401869159,29,23,23,25
SAN,F,2023-24,7.624482282558675,3.033594109526001,1.690289921767142,0.8900138057984354,17,6,11,25
SAN,F,2024-25,7.568348426045709,2.9736955584303577,1.6088831392841743,1.0310478654592496,9,4,6,6
SAN,F,2025-26,7.457109959700634,2.877950489349453,1.6597582037996546,0.970063327576281,25,23,16,19
SAN,G,2023-24,19.0625,3.8345588235294117,5.761029411764706,2.125,1,6,6,12
SAN,G,2024-25,15.776315789473685,4.078947368421052,5.6743421052631575,2.1085526315789473,15,1,3,5
SAN,G,2025-26,16.582010582010582,3.497354497354497,4.571428571428571,1.9788359788359788,4,6,22,8
TOR,C,2023-24,15.946564885496183,9.16793893129771,3.5763358778625953,0.8549618320610687,24,13,11,18
TOR,C,2024-25,15.845360824742269,9.151202749140893,3.910652920962199,0.8625429553264605,11,4,1,14
